sid,name,branch,CPI,phone,email
1,Merrill,CSE,6,(449) 665-1848,Nullam.velit.dui@in.co.uk
2,Evan,ECE,7,(583) 419-0686,nec@pellentesque.org
3,Murphy,MEC,5,(657) 253-2491,vitae.dolor@suscipit.co.uk
4,Isaiah,CSE,10,(457) 311-4033,eleifend.Cras@acnulla.org
5,Micah,ECE,8,(516) 770-7017,est.ac.mattis@Pellentesque.ca
6,Hamilton,MEC,1,(358) 923-7142,massa@egetvariusultrices.edu
7,Sylvester,CSE,4,(819) 975-0196,accumsan@ideratEtiam.com
8,Vladimir,ECE,5,(348) 920-1180,Donec.elementum@nequeInornare.com
9,Jarrod,MEC,6,(661) 629-4209,Integer@arcuVivamussit.co.uk
10,Amos,CSE,3,(208) 990-4166,diam@risusquisdiam.org
11,Axel,ECE,4,(432) 688-4555,fringilla.porttitor@tellusSuspendisse.edu
12,Carl,MEC,3,(646) 540-4747,congue.elit.sed@aceleifend.org
13,Phillip,CSE,7,(526) 717-2566,consectetuer@estac.ca
14,Ira,ECE,4,(199) 133-1650,sapien.molestie@Sed.edu
15,Macon,MEC,5,(547) 994-5344,ultricies.sem@temporarcu.org
16,Herman,CSE,9,(660) 901-7529,Nunc@placerat.net
17,Ray,ECE,3,(603) 932-2325,dictum.placerat@quispede.edu
18,Austin,MEC,10,(474) 446-0229,eget.ipsum@cursuspurus.com
19,Keegan,CSE,1,(747) 979-7028,nunc.sed.libero@eu.org
20,Oren,ECE,7,(552) 801-6597,mauris.erat.eget@egestasAliquam.net
21,Gavin,MEC,1,(422) 211-4724,non.magna.Nam@nequeIn.ca
22,Neil,CSE,10,(443) 140-1295,nonummy.ultricies@Mauris.edu
23,Jarrod,ECE,2,(127) 474-3753,montes.nascetur.ridiculus@consequatlectus.edu
24,Gary,MEC,9,(845) 424-1038,eu.ultrices.sit@risus.edu
25,Patrick,CSE,10,(363) 245-7152,Nam.tempor@orci.org
